SPECIES,NAME,BOTNAME,SPECIES_GROUP,OLD_Species_Group,SPECIES_TYPE,NATIVE,SPECIES_FAMILY
WEP,Weymouth pine,Pinus strobus,Pines,Pine,Conifer,No,Pinaceae
FAM,White ash,Fraxinus americana,Ashes,Ash,Broadleaf,No,Oleaceae
QAL,White oak,Quercus alba,Oaks,Oak,Broadleaf,No,Fagaceae
WPO,White poplar,Populus alba,Willows,Poplar,Broadleaf,No,Salicaceae
WWL,White willow,Salix alba,Willows,Willow,Broadleaf,Yes,Salicaceae
WHI,Whitebeam,Sorbus aria,Sorbuss,Sorbus,Broadleaf,Yes,Rosaceae
WCH,Wild cherry/gean,Prunus avium,Cherries,Cherry,Broadleaf,Yes,Rosaceae
WST,Wild service tree,Sorbus torminalis,Sorbuss,Sorbus,Broadleaf,Yes,Rosaceae
WSH,Woody shrubs,,,,Broadleaf,No,
WEM,Wych elm,Ulmus glabra,Elms,Elm,Broadleaf,Yes,Ulmaceae
YEW,Yew,Taxus baccata,Yews,Yew,Conifer,Yes,Taxaceae
PYU,Yunnan pine,Pinus yunnanensis,Pines,Pine,Conifer,No,Pinaceae
